id,X,Y,label
835,2999,402,CAF
836,3146,412,Macrophage
837,3757,396,Malignant
838,5428,379,Malignant
839,2822,397,Macrophage
840,3533,364,Malignant
841,5302,370,Malignant
842,3656,371,Malignant
843,4489,381,Endothelial
844,3709,345,Malignant
845,3750,306,Malignant
846,3534,285,Natural killer
847,3877,269,Malignant
848,3732,255,Malignant
849,4024,266,Plasma
850,3688,235,Malignant
851,5436,247,Malignant
852,3385,228,Pericyte
853,5364,230,Malignant
854,5426,220,Malignant
855,1186,205,Plasma
856,5391,119,Malignant
857,5444,126,Malignant
858,3952,137,Macrophage
859,3910,121,CAF
860,4094,96,Plasma
861,3856,56,Malignant
862,4640,75,Plasma
863,3914,43,Malignant
864,5441,53,Malignant
865,3388,36,Macrophage
866,3790,33,Endothelial
867,3929,22,Malignant
868,796,3611,CAF
869,1050,3609,CAF
870,1709,3614,CAF
871,2873,3621,Plasma
872,945,3591,CAF
873,4848,3618,Plasma
874,4316,3572,Malignant
875,2457,3571,Dendritic (activated)
876,4568,3561,Plasma
877,2200,3563,Plasma
878,4850,3547,CAF
879,5396,3573,CAF
880,2764,3548,Macrophage
881,2022,3518,CAF
882,2564,3547,CAF
883,1102,3531,CAF
884,4948,3521,CAF
885,4506,3535,Macrophage
886,2911,3534,CAF
887,1563,3521,Endothelial
888,1700,3501,CAF
889,5066,3516,Malignant
890,4420,3506,CD8+ T
891,2726,3491,CAF
892,4911,3461,CAF
893,2832,3468,Macrophage
894,4410,3472,CAF
895,790,3463,Macrophage
896,4828,3475,Plasma
897,5164,3468,Pericyte
898,712,3453,Plasma
899,1084,3452,Endothelial
900,1013,3448,CD8+ T
901,1762,3444,CAF
902,980,3415,Plasma
903,2511,3420,Mast
904,1243,3415,CAF
905,2471,3409,CAF
906,3208,3415,Macrophage
907,1137,3404,CAF
908,746,3377,Macrophage
909,5076,3371,CAF
910,5331,3391,CAF
911,2166,3376,CAF
912,2608,3371,Macrophage
913,5440,3369,Malignant
914,1237,3366,Treg
915,3533,3357,CAF
916,2510,3347,CAF
917,4989,3341,CAF
918,3226,3316,Endothelial
919,685,3310,Neutrophil
920,5437,3324,Malignant
921,2847,3288,CAF
922,2279,3267,CAF
923,5314,3272,CAF
924,2356,3255,CAF
925,1833,3256,CAF
926,3735,3262,Plasma
927,5314,3247,Plasma
928,4990,3237,CAF
929,1349,3222,CAF
930,5445,3218,Malignant
931,2481,3231,Mast
932,4579,3221,CAF
933,1893,3221,CAF
934,1043,3214,CAF
935,3196,3217,CAF
936,5399,3210,Malignant
937,224,3196,Plasma
938,2449,3157,Plasma
939,3030,3181,CAF
940,2841,3148,Plasma
941,977,3149,Plasma
942,2134,3107,CAF
943,3046,3136,CAF
944,5321,3113,CAF
945,3886,3110,CAF
946,996,3106,Macrophage
947,1478,3104,Plasma
948,2318,3113,Macrophage
949,3025,3125,CAF
950,1370,3104,CAF
951,3590,3114,Malignant
952,1085,3072,Treg
953,895,3079,Treg
954,3141,3074,CAF
