id,X,Y,label
547,2821,324,Malignant
548,429,333,CAF
549,1131,333,Endothelial
550,264,332,CAF
551,2378,326,Mast
552,3283,316,Plasma
553,2078,307,CAF
554,2478,310,Malignant
555,3632,296,Endothelial
556,1354,267,Pericyte
557,2744,277,Malignant
558,2495,272,Malignant
559,3697,202,CAF
560,3325,192,Endothelial
561,990,188,CAF
562,4596,167,CAF
563,2367,176,CAF
564,3387,153,CAF
565,522,150,Malignant
566,3308,129,CAF
567,3239,129,CAF
568,1446,126,CAF
569,2825,108,Malignant
570,1010,108,CAF
571,2781,101,Malignant
572,135,80,Plasma
573,862,86,CAF
574,223,67,CAF
575,2641,72,Malignant
576,2253,65,CAF
577,1373,70,CAF
578,1488,56,CD8+ T
579,1114,53,CAF
580,3564,53,Macrophage
581,3045,51,Dendritic (activated)
582,2359,28,CAF
583,2684,25,Malignant
