triangle_index,vertex_ids,vertex_labels
366,"372,399,72","CAF,CAF,CAF"
367,"372,399,76","CAF,CAF,CAF"
368,"373,363,365","CAF,CAF,CAF"
369,"373,363,377","CAF,CAF,CAF"
370,"373,365,363","CAF,CAF,CAF"
371,"373,377,363","CAF,CAF,CAF"
372,"373,377,398","CAF,CAF,CAF"
373,"373,392,398","CAF,CAF,CAF"
374,"373,398,377","CAF,CAF,CAF"
375,"373,398,392","CAF,CAF,CAF"
376,"375,351,360","CAF,CAF,CAF"
377,"375,360,351","CAF,CAF,CAF"
378,"375,360,382","CAF,CAF,CAF"
379,"375,382,360","CAF,CAF,CAF"
380,"375,382,395","CAF,CAF,CAF"
381,"375,395,382","CAF,CAF,CAF"
382,"377,68,386","CAF,CAF,CAF"
383,"377,363,373","CAF,CAF,CAF"
384,"377,373,363","CAF,CAF,CAF"
385,"377,373,398","CAF,CAF,CAF"
386,"377,386,68","CAF,CAF,CAF"
387,"377,386,397","CAF,CAF,CAF"
388,"377,397,386","CAF,CAF,CAF"
389,"377,397,398","CAF,CAF,CAF"
390,"377,398,373","CAF,CAF,CAF"
391,"377,398,397","CAF,CAF,CAF"
392,"381,76,362","CAF,CAF,CAF"
393,"381,362,76","CAF,CAF,CAF"
394,"382,360,375","CAF,CAF,CAF"
395,"382,375,360","CAF,CAF,CAF"
396,"382,375,395","CAF,CAF,CAF"
397,"382,391,395","CAF,CAF,CAF"
398,"382,395,375","CAF,CAF,CAF"
399,"382,395,391","CAF,CAF,CAF"
400,"383,394,412","CAF,CAF,CAF"
401,"383,412,394","CAF,CAF,CAF"
402,"383,412,414","CAF,CAF,CAF"
403,"383,414,412","CAF,CAF,CAF"
404,"386,68,377","CAF,CAF,CAF"
405,"386,68,394","CAF,CAF,CAF"
406,"386,377,68","CAF,CAF,CAF"
407,"386,377,397","CAF,CAF,CAF"
408,"386,394,68","CAF,CAF,CAF"
409,"386,394,405","CAF,CAF,CAF"
410,"386,397,377","CAF,CAF,CAF"
411,"386,397,405","CAF,CAF,CAF"
412,"386,405,394","CAF,CAF,CAF"
413,"386,405,397","CAF,CAF,CAF"
414,"391,382,395","CAF,CAF,CAF"
415,"391,395,382","CAF,CAF,CAF"
416,"391,395,411","CAF,CAF,CAF"
417,"391,411,395","CAF,CAF,CAF"
418,"391,411,431","CAF,CAF,CAF"
419,"391,431,411","CAF,CAF,CAF"
420,"392,373,398","CAF,CAF,CAF"
421,"392,398,373","CAF,CAF,CAF"
422,"394,68,386","CAF,CAF,CAF"
423,"394,383,412","CAF,CAF,CAF"
424,"394,386,68","CAF,CAF,CAF"
425,"394,386,405","CAF,CAF,CAF"
426,"394,405,386","CAF,CAF,CAF"
427,"394,405,412","CAF,CAF,CAF"
428,"394,412,383","CAF,CAF,CAF"
429,"394,412,405","CAF,CAF,CAF"
430,"395,375,382","CAF,CAF,CAF"
431,"395,382,375","CAF,CAF,CAF"
432,"395,382,391","CAF,CAF,CAF"
433,"395,391,382","CAF,CAF,CAF"
434,"395,391,411","CAF,CAF,CAF"
435,"395,411,391","CAF,CAF,CAF"
436,"397,377,386","CAF,CAF,CAF"
437,"397,377,398","CAF,CAF,CAF"
438,"397,386,377","CAF,CAF,CAF"
439,"397,386,405","CAF,CAF,CAF"
440,"397,398,377","CAF,CAF,CAF"
441,"397,398,410","CAF,CAF,CAF"
442,"397,405,386","CAF,CAF,CAF"
443,"397,405,408","CAF,CAF,CAF"
444,"397,408,405","CAF,CAF,CAF"
445,"397,408,410","CAF,CAF,CAF"
446,"397,410,398","CAF,CAF,CAF"
447,"397,410,408","CAF,CAF,CAF"
448,"398,373,377","CAF,CAF,CAF"
449,"398,373,392","CAF,CAF,CAF"
450,"398,377,373","CAF,CAF,CAF"
451,"398,377,397","CAF,CAF,CAF"
452,"398,392,373","CAF,CAF,CAF"
453,"398,397,377","CAF,CAF,CAF"
454,"398,397,410","CAF,CAF,CAF"
455,"398,410,397","CAF,CAF,CAF"
456,"399,72,372","CAF,CAF,CAF"
457,"399,76,78","CAF,CAF,CAF"
458,"399,76,372","CAF,CAF,CAF"
459,"399,78,76","CAF,CAF,CAF"
460,"399,372,72","CAF,CAF,CAF"
461,"399,372,76","CAF,CAF,CAF"
462,"399,429,432","CAF,CAF,CAF"
463,"399,432,429","CAF,CAF,CAF"
464,"405,386,394","CAF,CAF,CAF"
465,"405,386,397","CAF,CAF,CAF"
466,"405,394,386","CAF,CAF,CAF"
467,"405,394,412","CAF,CAF,CAF"
468,"405,397,386","CAF,CAF,CAF"
